time,open,high,low,close,volume
2024-04-11,98.02,99.66,97.85,99.23,1553032
2024-04-12,100.09,100.09,98.71,99.75,1371708
2024-04-15,99.75,99.83,96.29,96.38,3709209
2024-04-16,96.72,97.76,96.29,97.59,3651849
2024-04-17,97.67,97.67,96.38,96.55,1949454
2024-04-19,95.43,96.03,94.13,94.13,5373515
2024-04-22,95.0,96.21,94.05,95.26,2403688
2024-04-23,95.77,97.85,94.91,96.98,4041971
2024-04-24,98.1,103.72,97.76,103.72,10179208
2024-04-25,105.79,110.54,105.27,106.4,5718864
2024-04-26,106.22,108.3,105.53,106.4,3402188
2024-05-02,106.91,111.4,106.65,109.94,3477702
2024-05-03,110.63,110.89,108.47,108.73,3199400
2024-05-06,109.25,110.2,107.52,110.2,2710850
2024-05-07,110.54,113.65,109.85,113.39,3130425
2024-05-08,112.35,113.13,111.66,113.13,3024432
2024-05-09,112.79,114.69,112.27,112.53,2208946
2024-05-10,113.39,114.17,111.58,113.13,3797696
2024-05-13,113.39,113.56,111.23,112.01,1857811
2024-05-14,112.27,113.74,111.92,112.7,2309312
2024-05-15,113.56,116.15,113.39,115.81,3659473
2024-05-16,117.1,118.57,115.9,116.93,3128143
2024-05-17,116.93,117.45,115.46,116.15,2314616
2024-05-20,116.76,117.54,114.86,114.86,2020789
2024-05-21,115.72,117.45,115.29,117.45,3478265
2024-05-22,119.09,120.64,117.54,119.18,4522916
2024-05-23,118.74,119.0,116.59,118.74,3630410
2024-05-24,119.18,119.18,112.79,113.91,13398023
2024-05-27,114.86,115.29,112.79,114.69,5172903
2024-05-28,115.72,118.31,114.95,118.31,4632228
2024-05-29,118.4,119.35,116.41,117.19,5844515
2024-05-30,115.55,116.59,113.91,116.59,7273584
2024-05-31,116.59,118.14,115.55,116.24,2639516
2024-06-03,116.59,118.83,116.33,118.23,7782256
2024-06-04,120.04,120.3,119.0,120.13,7019713
2024-06-05,120.9,125.14,120.64,120.99,6336780
2024-06-06,121.16,122.37,119.87,120.56,5222139
2024-06-07,121.77,122.63,121.34,122.63,3762372
2024-06-10,123.93,125.22,123.49,124.36,3785656
2024-06-11,124.62,126.52,123.58,126.52,6340276
2024-06-12,127.9,132.7,127.8,132.0,11246768
2024-06-13,133.7,133.8,130.0,130.0,8167546
2024-06-14,130.1,132.6,129.0,131.0,6425220
2024-06-17,131.0,131.4,128.5,128.8,4890848
2024-06-18,128.8,129.7,128.0,128.0,6694763
2024-06-19,128.0,132.8,126.6,131.5,9684926
2024-06-20,133.0,135.7,131.8,133.3,10482529
2024-06-21,133.9,136.1,133.3,136.1,7663338
2024-06-24,135.0,135.5,132.0,132.1,13202385
2024-06-25,131.0,131.1,128.6,130.0,13723703
2024-06-26,131.0,131.8,129.4,131.8,7158131
2024-06-27,131.3,134.1,130.8,132.8,6409612
2024-06-28,132.8,132.8,130.4,130.5,6641381
2024-07-01,130.4,130.4,128.5,128.6,6386361
2024-07-02,128.6,132.1,127.5,128.0,6735345
2024-07-03,130.5,132.8,130.1,131.0,7642345
2024-07-04,132.1,135.8,132.1,135.8,8129152
2024-07-05,136.1,139.7,136.1,138.7,7807749
2024-07-08,138.5,139.6,137.5,139.6,5876745
2024-07-09,139.1,139.3,136.0,137.5,9689262
2024-07-10,136.0,137.0,134.0,134.0,6309470
2024-07-11,134.1,135.4,132.5,133.0,6857179
2024-07-12,132.2,136.0,132.2,133.8,3562395
2024-07-15,133.5,134.8,132.3,132.7,3074934
2024-07-16,133.6,134.5,132.3,134.0,4007693
2024-07-17,134.0,134.1,129.9,131.9,6980219
2024-07-18,131.4,131.4,127.8,127.9,10828773
2024-07-19,128.6,129.3,126.0,126.0,6581002
2024-07-22,126.0,126.0,123.2,124.1,6242427
2024-07-23,124.9,127.5,124.8,125.5,5323805
2024-07-24,125.5,126.6,124.0,126.0,4160841
2024-07-25,124.2,125.5,124.1,125.0,2569074
2024-07-26,125.9,128.0,124.4,128.0,3951100
2024-07-29,130.0,130.6,129.0,129.0,4859800
2024-07-30,129.0,129.5,127.0,128.0,2373800
2024-07-31,127.3,128.6,126.6,128.6,2869200
2024-08-01,129.6,129.7,124.1,124.8,6870300
2024-08-02,122.1,124.8,121.0,123.2,9944700
2024-08-05,121.1,122.9,117.4,118.6,10415200
2024-08-06,120.0,121.9,119.8,120.8,6728100
2024-08-07,121.0,122.0,120.2,122.0,2822800
2024-08-08,121.6,122.4,120.9,121.4,2654900
2024-08-09,122.4,126.9,122.0,126.9,5496400
2024-08-12,126.9,130.2,126.2,130.0,6183500
2024-08-13,129.7,130.2,128.0,129.7,4097900
2024-08-14,130.7,131.5,129.5,129.5,2862200
2024-08-15,129.1,129.5,128.2,128.7,2257600
2024-08-16,129.1,131.0,129.1,130.6,5093600
2024-08-19,131.1,131.4,130.0,130.5,2498400
2024-08-20,130.7,132.5,130.7,131.5,3741400
2024-08-21,130.6,133.8,130.6,133.5,6119700
2024-08-22,134.0,134.5,133.5,133.8,3020500
2024-08-23,133.7,133.7,132.4,133.1,3055000
2024-08-26,133.3,133.5,131.5,131.5,2590300
2024-08-27,131.5,132.6,130.4,132.5,2338500
2024-08-28,133.0,134.5,132.9,133.3,2711500
2024-08-29,132.8,133.8,132.2,133.7,2092700
2024-08-30,133.5,134.9,133.0,134.8,3315800
2024-09-04,133.0,133.0,131.5,133.0,4535200
2024-09-05,133.0,133.0,129.7,130.6,8055600
2024-09-06,130.5,132.9,130.3,132.1,3821400
2024-09-09,130.8,131.9,130.1,131.3,2885200
2024-09-10,131.0,131.0,129.6,130.0,4195100
2024-09-11,130.0,131.3,129.8,130.6,3190400
2024-09-12,131.0,132.5,131.0,132.3,4118000
2024-09-13,132.2,133.4,132.0,133.0,3186800
2024-09-16,131.8,133.0,131.1,131.1,1915700
2024-09-17,131.2,132.9,131.2,132.9,2651400
2024-09-18,133.4,135.2,132.9,134.6,5379600
2024-09-19,135.0,135.8,134.3,135.2,5154300
2024-09-20,136.3,137.0,135.0,135.3,3719700
2024-09-23,135.9,135.9,133.4,134.0,2441200
2024-09-24,134.0,134.7,133.7,134.5,2011400
2024-09-25,134.3,134.8,133.6,134.8,4479900
2024-09-26,135.0,135.0,133.9,134.3,2815600
2024-09-27,134.3,134.4,133.5,134.2,3352800
2024-09-30,134.2,134.5,133.0,134.5,3030500
2024-10-01,134.7,136.2,134.7,135.9,4725900
2024-10-02,134.6,135.9,134.6,135.4,1719800
2024-10-03,135.4,136.1,134.0,134.0,2300800
2024-10-04,134.3,134.8,133.5,134.1,1468400
2024-10-07,134.2,134.9,133.6,134.1,1330500
2024-10-08,134.1,135.1,133.6,133.8,2108600
2024-10-09,134.3,135.8,134.3,135.4,2619900
2024-10-10,135.8,142.0,135.8,141.7,9952200
2024-10-11,142.0,142.8,139.6,139.6,3813600
2024-10-14,141.1,141.3,137.1,137.6,5605300
2024-10-15,137.6,138.6,136.6,137.0,2860800
2024-10-16,136.4,137.1,136.0,136.3,2756000
2024-10-17,136.5,137.1,135.5,137.0,2579200
2024-10-18,137.4,137.8,136.6,137.0,2169400
2024-10-21,137.0,137.7,135.5,135.5,2681300
2024-10-22,135.7,135.7,133.0,133.1,6009200
2024-10-23,132.9,134.8,132.6,134.2,3015100
